age,Sr
27.360,0.708107
27.463,0.708091
27.582,0.708057
27.668,0.708063
27.668,0.708027
27.771,0.708078
27.874,0.708082
27.977,0.708039
28.00,0.708060
28.080,0.708052
28.183,0.708028
28.18,0.710229
28.286,0.707989
28.30,0.708145
28.389,0.708020
28.40,0.708041
28.678,0.708014
28.770,0.708022
28.861,0.708018
28.948,0.708020
29.038,0.708054
29.038,0.708025
29.10,0.708003
29.126,0.708050
29.216,0.708009
29.303,0.707983
29.394,0.707966
29.45,0.708047
29.481,0.707970
29.67,0.708073
29.70,0.708076
29.832,0.707986
29.921,0.707972
29.92,0.708167
30.009,0.707929
30.126,0.707957
30.307,0.707972
30.307,0.707964
30.488,0.707932
30.60,0.708027
30.667,0.707926
30.850,0.707953
30.90,0.708038
31.019,0.707969
31.182,0.707896
31.342,0.707898
31.40,0.707961
31.507,0.707916
31.57,0.707933
31.670,0.707923
31.800,0.707890
31.963,0.707896
32.126,0.707908
32.20,0.707987
32.291,0.707894
32.451,0.707872
32.60,0.708030
32.616,0.707860
32.64,0.707862
32.774,0.707843
32.90,0.707791
32.942,0.707830
33.00,0.707991
33.088,0.707843
33.10,0.707959
33.215,0.707857
33.336,0.707822
33.464,0.707822
33.464,0.707826
33.74,0.707749
33.768,0.707789
33.955,0.707791
34.00,0.707932
34.10,0.707866
34.150,0.707767
34.339,0.707782
34.533,0.707781
34.54,0.707792
34.60,0.707868
34.731,0.707775
34.956,0.707772
35.00,0.707911
35.051,0.707732
35.147,0.707753
35.240,0.707768
35.335,0.707740
35.419,0.707756
35.574,0.707781
35.651,0.707775
35.70,0.707860
35.734,0.707778
35.80,0.707945
35.811,0.707787
35.895,0.707749
35.972,0.707750
35.972,0.707722
35.972,0.707739
36.10,0.707836
36.22,0.707726
36.267,0.707751
36.554,0.707719
36.710,0.707747
36.774,0.707740
36.80,0.707812
36.844,0.707748
36.908,0.707732
36.978,0.707716
37.023,0.707736
37.090,0.707750
37.10,0.707809
37.157,0.707729
37.224,0.707708
37.28,0.707735
37.291,0.707729
37.425,0.707733
37.559,0.707733
37.693,0.707712
37.827,0.707732
37.936,0.707743
37.936,0.707729
38.024,0.707718
38.10,0.707816
38.158,0.707704
38.558,0.707726
38.903,0.707718
39.00,0.707781
39.249,0.707728
39.249,0.707710
39.422,0.707709
39.594,0.707719
39.758,0.707712
39.90,0.707752
39.928,0.707714
40.104,0.707695
40.278,0.707717
40.50,0.707654
40.60,0.707669
40.90,0.707747
41.40,0.707671
41.580,0.707735
42.142,0.707724
42.142,0.707730
42.707,0.707747
43.00,0.707747
43.364,0.707744
43.40,0.707758
43.66,0.707664
43.699,0.707746
44.016,0.707767
44.20,0.707654
44.315,0.707752
44.315,0.707762
44.614,0.707761
44.80,0.707778
44.913,0.707759
44.913,0.707743
45.40,0.707735
45.479,0.707771
45.778,0.707736
46.077,0.707768
46.228,0.707768
46.228,0.707725
46.80,0.707706
47.080,0.707827
47.340,0.707842
47.580,0.707803
47.820,0.707794
48.00,0.707668
48.060,0.707835
48.280,0.707797
48.490,0.707822
48.50,0.707760
48.690,0.707823
49.00,0.707734
49.070,0.707810
49.240,0.707813
49.700,0.707798
49.830,0.707817
49.940,0.707770
50.240,0.707759
51.150,0.707738
51.220,0.707733
51.350,0.707728
51.550,0.707719
51.760,0.707725
51.990,0.707722
52.10,0.707748
52.140,0.707710
52.280,0.707773
52.390,0.707742
52.680,0.707737
52.70,0.707725
52.930,0.707722
53.000,0.707775
53.070,0.707741
53.195,0.707740
53.507,0.707730
